Grapheme	IPA	Class	Left	Right	Frequency
.	.				1113303
ိူဝ်	ɤ				0
ာတ့်	aiʔ				0
ိုယ်	ɯi				0
ိုဝ်	aɯ				0
န့်	ŋ	c-co	ေ		0
ုဝ်	o			း	0
","	","				0
န့်	n	c-co			0
ေတ်	et				0
ိတ်	it				0
ူယ်	oi				0
ွဲ့	ɔe				0
ွတ်	oe				0
ိဝ်	iu				0
ွို	ʌ				0
ါယ်	ae				0
ာယ်	ae				0
ုဝ်	ɔu				0
မ်	m	c-co	c-on		0
န်	n	c-co	c-on		0
ို	ɯ			[^ဝ်]	0
ဲ့	ɛʔ		ဟ		0
ဝ်	aɔ		c-on|ာ		0
န့	ʔŋ	c-on	\b		0
မ့	ʔm	c-on	\b		0
က်	k	c-co			0
တ်	ʔ	c-co			0
ပ်	p	c-co			0
မ်	ŋ	c-co			0
န်	ŋ	c-co			0
င်	k	c-co			0
ော	ɔ				0
ိူ	ɯː				0
ဲ့	aiʔ				0
ရှ	hr	c-on			0
လှ	hl	c-on			0
ငှ	hŋ	c-on			0
ညှ	hɲ	c-on			0
နှ	hn	c-on			0
မှ	hm	c-on			0
ွ	ɔu			c-co	0
ွ	ɔ			တ်	0
ွ	u			ာ|ါ	0
ါ	aː			c-co	0
ာ	aː			c-co	0
ာ	a		c-on	c-co	0
ဲ	ai			း	0
ူ	o			c-co	0
ေ	ʌi			\b	0
ူ	u			[^c-co]	0
ု	u			[^ဝ်]	0
ု	ou			း	0
 	 				0
0	0				0
9	9				0
8	8				0
7	7				0
6	6				0
5	5				0
4	4				0
3	3				0
2	2				0
1	1				0
့					0
း	h	c-co			0
ွ	ɔ				0
ါ	a				0
ာ	a				0
ဲ	ɛ				0
ေ	e				0
ိ	i				0
ီ	i				0
ျ	j	c-on			0
ြ	r	c-on			0
ဟ	h	c-on			0
ဆ	s	c-on			0
ယ	j	c-on			0
ရ	r	c-on			0
လ	l	c-on			0
ဝ	ʋ	c-on			0
င	ŋ	c-on			0
ည	ɲ	c-on			0
န	n	c-on			0
မ	m	c-on			0
ဂ	g	c-on			0
ဇ	ɟ	c-on			0
ဒ	d	c-on			0
ဘ	b	c-on			0
ခ	kʰ	c-on			0
ထ	tʰ	c-on			0
ဖ	pʰ	c-on			0
အ	ʔ	c-on			0
က	k	c-on			0
စ	c	c-on			0
တ	t	c-on			0
ပ	p	c-on			0
